,Name,Symbol,MainLink,HistoricalLink,GitHubLink
111,Chia,XCH,https://coinmarketcap.com/currencies/chia-network/,https://coinmarketcap.com/currencies/chia-network/historical-data,github.com/Chia-Network/chia-blockchain
112,Loopring,LRC,https://coinmarketcap.com/currencies/loopring/,https://coinmarketcap.com/currencies/loopring/historical-data,github.com/Loopring/protocols/blob/master/packages/loopring_v3/DESIGN.md
113,Enjin Coin,ENJ,https://coinmarketcap.com/currencies/enjin-coin/,https://coinmarketcap.com/currencies/enjin-coin/historical-data,github.com/EthereumCommonwealth/Auditing/issues/308#issuecomment-508447337
114,Helium,HNT,https://coinmarketcap.com/currencies/helium/,https://coinmarketcap.com/currencies/helium/historical-data,github.com/helium/
115,Qtum,QTUM,https://coinmarketcap.com/currencies/qtum/,https://coinmarketcap.com/currencies/qtum/historical-data,github.com/qtumproject/qtum/
116,Ethereum Name Service,ENS,https://coinmarketcap.com/currencies/ethereum-name-service/,https://coinmarketcap.com/currencies/ethereum-name-service/historical-data,github.com/ensdomains
117,NEM,XEM,https://coinmarketcap.com/currencies/nem/,https://coinmarketcap.com/currencies/nem/historical-data,github.com/NemProject/nis
118,Bitcoin Gold,BTG,https://coinmarketcap.com/currencies/bitcoin-gold/,https://coinmarketcap.com/currencies/bitcoin-gold/historical-data,github.com/BTCGPU/BTCGPU/wiki/Technical-Spec
119,SingularityNET,AGIX,https://coinmarketcap.com/currencies/singularitynet/,https://coinmarketcap.com/currencies/singularitynet/historical-data,github.com/singnet/
120,Convex Finance,CVX,https://coinmarketcap.com/currencies/convex-finance/,https://coinmarketcap.com/currencies/convex-finance/historical-data,github.com/convex-eth/platform
121,Mask Network,MASK,https://coinmarketcap.com/currencies/mask-network/,https://coinmarketcap.com/currencies/mask-network/historical-data,github.com/DimensionDev/Maskbook
122,Celo,CELO,https://coinmarketcap.com/currencies/celo/,https://coinmarketcap.com/currencies/celo/historical-data,github.com/celo-org
123,Theta Fuel,TFUEL,https://coinmarketcap.com/currencies/theta-fuel/,https://coinmarketcap.com/currencies/theta-fuel/historical-data,github.com/thetatoken/theta-protocol-ledger
124,Decred,DCR,https://coinmarketcap.com/currencies/decred/,https://coinmarketcap.com/currencies/decred/historical-data,github.com/decred/
125,Ankr,ANKR,https://coinmarketcap.com/currencies/ankr/,https://coinmarketcap.com/currencies/ankr/historical-data,github.com/Ankr-network
126,Ravencoin,RVN,https://coinmarketcap.com/currencies/ravencoin/,https://coinmarketcap.com/currencies/ravencoin/historical-data,github.com/RavenProject/Ravencoin
127,Osmosis,OSMO,https://coinmarketcap.com/currencies/osmosis/,https://coinmarketcap.com/currencies/osmosis/historical-data,github.com/osmosis-labs/osmosis
128,Ocean Protocol,OCEAN,https://coinmarketcap.com/currencies/ocean-protocol/,https://coinmarketcap.com/currencies/ocean-protocol/historical-data,github.com/oceanprotocol
129,yearn.finance,YFI,https://coinmarketcap.com/currencies/yearn-finance/,https://coinmarketcap.com/currencies/yearn-finance/historical-data,github.com/yearn/iearn-finance
130,Livepeer,LPT,https://coinmarketcap.com/currencies/livepeer/,https://coinmarketcap.com/currencies/livepeer/historical-data,github.com/livepeer/wiki/blob/master/WHITEPAPER.md#introduction-and-background
131,Holo,HOT,https://coinmarketcap.com/currencies/holo/,https://coinmarketcap.com/currencies/holo/historical-data,github.com/holochain/holochain-rust
132,JUST,JST,https://coinmarketcap.com/currencies/just/,https://coinmarketcap.com/currencies/just/historical-data,
133,STEPN,GMT,https://coinmarketcap.com/currencies/green-metaverse-token/,https://coinmarketcap.com/currencies/green-metaverse-token/historical-data,
134,Balancer,BAL,https://coinmarketcap.com/currencies/balancer/,https://coinmarketcap.com/currencies/balancer/historical-data,github.com/balancer-labs
135,aelf,ELF,https://coinmarketcap.com/currencies/aelf/,https://coinmarketcap.com/currencies/aelf/historical-data,github.com/aelfProject
136,Fetch.ai,FET,https://coinmarketcap.com/currencies/fetch/,https://coinmarketcap.com/currencies/fetch/historical-data,github.com/fetchai
137,Blur,BLUR,https://coinmarketcap.com/currencies/blur-token/,https://coinmarketcap.com/currencies/blur-token/historical-data,
138,Waves,WAVES,https://coinmarketcap.com/currencies/waves/,https://coinmarketcap.com/currencies/waves/historical-data,github.com/wavesplatform/
139,Golem,GLM,https://coinmarketcap.com/currencies/golem-network-tokens/,https://coinmarketcap.com/currencies/golem-network-tokens/historical-data,github.com/golemfactory/golem
140,Aragon,ANT,https://coinmarketcap.com/currencies/aragon/,https://coinmarketcap.com/currencies/aragon/historical-data,
141,Audius,AUDIO,https://coinmarketcap.com/currencies/audius/,https://coinmarketcap.com/currencies/audius/historical-data,
142,JasmyCoin,JASMY,https://coinmarketcap.com/currencies/jasmy/,https://coinmarketcap.com/currencies/jasmy/historical-data,
143,FLOKI,FLOKI,https://coinmarketcap.com/currencies/floki-inu/,https://coinmarketcap.com/currencies/floki-inu/historical-data,github.com/floki-inu
144,Threshold,T,https://coinmarketcap.com/currencies/threshold/,https://coinmarketcap.com/currencies/threshold/historical-data,github.com/threshold-network
145,ICON,ICX,https://coinmarketcap.com/currencies/icon/,https://coinmarketcap.com/currencies/icon/historical-data,github.com/icon-project
146,Kusama,KSM,https://coinmarketcap.com/currencies/kusama/,https://coinmarketcap.com/currencies/kusama/historical-data,github.com/kusamanetwork
147,Siacoin,SC,https://coinmarketcap.com/currencies/siacoin/,https://coinmarketcap.com/currencies/siacoin/historical-data,github.com/SiaFoundation
148,Worldcoin,WLD,https://coinmarketcap.com/currencies/worldcoin-org/,https://coinmarketcap.com/currencies/worldcoin-org/historical-data,github.com/worldcoin
149,Solar,SXP,https://coinmarketcap.com/currencies/sxp/,https://coinmarketcap.com/currencies/sxp/historical-data,github.com/Solar-network
150,Terra,LUNA,https://coinmarketcap.com/currencies/terra-luna-v2/,https://coinmarketcap.com/currencies/terra-luna-v2/historical-data,github.com/terra-money/core
151,Illuvium,ILV,https://coinmarketcap.com/currencies/illuvium/,https://coinmarketcap.com/currencies/illuvium/historical-data,
152,Hive,HIVE,https://coinmarketcap.com/currencies/hive-blockchain/,https://coinmarketcap.com/currencies/hive-blockchain/historical-data,github.com/openhive-network/hive
153,0x Protocol,ZRX,https://coinmarketcap.com/currencies/0x/,https://coinmarketcap.com/currencies/0x/historical-data,github.com/0xProject/protocol/
154,EthereumPoW,ETHW,https://coinmarketcap.com/currencies/ethereum-pow/,https://coinmarketcap.com/currencies/ethereum-pow/historical-data,github.com/ethereumpow
155,Ontology,ONT,https://coinmarketcap.com/currencies/ontology/,https://coinmarketcap.com/currencies/ontology/historical-data,github.com/ontio
156,ssv.network,SSV,https://coinmarketcap.com/currencies/ssv-network/,https://coinmarketcap.com/currencies/ssv-network/historical-data,github.com/bloxapp/ssv-web
157,Moonbeam,GLMR,https://coinmarketcap.com/currencies/moonbeam/,https://coinmarketcap.com/currencies/moonbeam/historical-data,github.com/PureStake/moonbeam
158,IOST,IOST,https://coinmarketcap.com/currencies/iostoken/,https://coinmarketcap.com/currencies/iostoken/historical-data,
159,Band Protocol,BAND,https://coinmarketcap.com/currencies/band-protocol/,https://coinmarketcap.com/currencies/band-protocol/historical-data,github.com/bandprotocol
160,Biconomy,BICO,https://coinmarketcap.com/currencies/biconomy/,https://coinmarketcap.com/currencies/biconomy/historical-data,github.com/bcnmy
161,Harmony,ONE,https://coinmarketcap.com/currencies/harmony/,https://coinmarketcap.com/currencies/harmony/historical-data,github.com/harmony-one
162,WAX,WAXP,https://coinmarketcap.com/currencies/wax/,https://coinmarketcap.com/currencies/wax/historical-data,github.com/worldwide-asset-exchange/
163,SushiSwap,SUSHI,https://coinmarketcap.com/currencies/sushiswap/,https://coinmarketcap.com/currencies/sushiswap/historical-data,github.com/sushiswap/sushiswap
164,Axelar,AXL,https://coinmarketcap.com/currencies/axelar/,https://coinmarketcap.com/currencies/axelar/historical-data,github.com/axelarnetwork
165,IoTeX,IOTX,https://coinmarketcap.com/currencies/iotex/,https://coinmarketcap.com/currencies/iotex/historical-data,github.com/iotexproject/iotex-core
166,MAGIC,MAGIC,https://coinmarketcap.com/currencies/magic-token/,https://coinmarketcap.com/currencies/magic-token/historical-data,github.com/TreasureProject/
167,Merit Circle,MC,https://coinmarketcap.com/currencies/merit-circle/,https://coinmarketcap.com/currencies/merit-circle/historical-data,
168,TerraClassicUSD,USTC,https://coinmarketcap.com/currencies/terrausd/,https://coinmarketcap.com/currencies/terrausd/historical-data,github.com/terra-project
169,Kadena,KDA,https://coinmarketcap.com/currencies/kadena/,https://coinmarketcap.com/currencies/kadena/historical-data,github.com/kadena-io/chainweb-node
170,UniBot,UNIBOT,https://coinmarketcap.com/currencies/unibot-eth/,https://coinmarketcap.com/currencies/unibot-eth/historical-data,
171,BORA,BORA,https://coinmarketcap.com/currencies/bora/,https://coinmarketcap.com/currencies/bora/historical-data,
172,Nervos Network,CKB,https://coinmarketcap.com/currencies/nervos-network/,https://coinmarketcap.com/currencies/nervos-network/historical-data,github.com/nervosnetwork/rfcs/blob/master/rfcs/0002-ckb/0002-ckb.md
173,DigiByte,DGB,https://coinmarketcap.com/currencies/digibyte/,https://coinmarketcap.com/currencies/digibyte/historical-data,github.com/DigiByte-Core
174,Stargate Finance,STG,https://coinmarketcap.com/currencies/stargate-finance/,https://coinmarketcap.com/currencies/stargate-finance/historical-data,
175,DAO Maker,DAO,https://coinmarketcap.com/currencies/dao-maker/,https://coinmarketcap.com/currencies/dao-maker/historical-data,github.com/daomaker
176,MobileCoin,MOB,https://coinmarketcap.com/currencies/mobilecoin/,https://coinmarketcap.com/currencies/mobilecoin/historical-data,github.com/mobilecoinfoundation/mobilecoin
177,Ribbon Finance,RBN,https://coinmarketcap.com/currencies/ribbon-finance/,https://coinmarketcap.com/currencies/ribbon-finance/historical-data,github.com/ribbon-finance
178,Core,CORE,https://coinmarketcap.com/currencies/core-dao/,https://coinmarketcap.com/currencies/core-dao/historical-data,
179,SKALE,SKL,https://coinmarketcap.com/currencies/skale-network/,https://coinmarketcap.com/currencies/skale-network/historical-data,github.com/skalenetwork
180,Flux,FLUX,https://coinmarketcap.com/currencies/zel/,https://coinmarketcap.com/currencies/zel/historical-data,github.com/runonflux
181,UMA,UMA,https://coinmarketcap.com/currencies/uma/,https://coinmarketcap.com/currencies/uma/historical-data,github.com/UMAprotocol/whitepaper
182,Horizen,ZEN,https://coinmarketcap.com/currencies/horizen/,https://coinmarketcap.com/currencies/horizen/historical-data,github.com/HorizenOfficial
183,Galxe,GAL,https://coinmarketcap.com/currencies/galxe/,https://coinmarketcap.com/currencies/galxe/historical-data,
184,Reserve Rights,RSR,https://coinmarketcap.com/currencies/reserve-rights/,https://coinmarketcap.com/currencies/reserve-rights/historical-data,github.com/reserve-protocol
185,TomoChain,TOMO,https://coinmarketcap.com/currencies/tomochain/,https://coinmarketcap.com/currencies/tomochain/historical-data,github.com/tomochain/
186,Everscale,EVER,https://coinmarketcap.com/currencies/everscale/,https://coinmarketcap.com/currencies/everscale/historical-data,github.com/tonlabs/ever-sdk
187,STP,STPT,https://coinmarketcap.com/currencies/standard-tokenization-protocol/,https://coinmarketcap.com/currencies/standard-tokenization-protocol/historical-data,
188,Lisk,LSK,https://coinmarketcap.com/currencies/lisk/,https://coinmarketcap.com/currencies/lisk/historical-data,github.com/LiskHQ/
189,Nano,XNO,https://coinmarketcap.com/currencies/nano/,https://coinmarketcap.com/currencies/nano/historical-data,github.com/nanocurrency
